id,sentence,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
34,"The child is light-headed, quick to grasp lessons.",1,lightheaded,trust,easy to understand,trust,trust,trust
35,"The doctor is known for his cool hands, many patients have recovered.",1,cold hands,trust,someone who is always successful or successful in the business he does,trust,trust,trust
36,Father is the backbone of the family.,1,backbone,trust,main source of income,trust,trust,trust
37,"When facing problems, we must keep a cool head.",1,cool head,trust,calm and unemotional,trust,trust,trust
38,"He is resourceful, always has creative solutions.",1,resourceful,trust,lots of ideas,trust,trust,trust
39,"Even though he is rich, he remains humble.",1,humble,trust,not arrogant or haughty,trust,trust,trust
40,The secretary is the director's right hand man.,1,right hand,trust,trusted assistant,trust,happy,trust
41,I was shocked to death when I saw a snake in front of my door.,1,shocked to death,surprised,very surprised,surprised,surprised,surprised
42,"He was made the scapegoat for the team's mistakes, even though he was innocent.",1,scapegoat,surprised,the person to blame,surprised,surprised,surprised
43,Suddenly his name became the talk of the town after his video went viral.,1,lips,surprised,become a topic of conversation,surprised,surprised,surprised
44,"After hearing his explanation, my eyes were opened that I had been wrong all this time.",1,open eyes,surprised,realize the truth,surprised,surprised,surprised
45,"Seeing the ghost apparition, the hair on his back stood up",1,hair standing on end,scared,feel very scared,scared,scared,scared
46,"When facing the exam, his knees were shaking because he was nervous.",1,shaking knees,scared,scared or nervous,scared,scared,scared
47,The thief was speechless when the police arrived.,1,dead lice,scared,scared to the point of not being able to move,scared,scared,scared
48,"Hearing the sad news, his blood felt cold.",1,blood clots,scared,shocked and scared,scared,scared,scared
49,Her heart was pounding as she waited for the test results.,1,heart palpitations,scared,worried,scared,scared,scared
50,Residents are on alert because there is a long-armed thief in the neighborhood,1,arm length,scared,happys to steal,scared,scared,scared
51,He was scared to handle the hot money because its origin was unclear.,1,hot money,scared,proceeds of corruption,scared,scared,scared
52,left by a lover until heartbroken,1,broken hearted,sad,disappointed because of love,sad,sad,sad
53,"Hearing the insult, he was hurt.",1,offended,sad,offended,sad,sad,angry
54,Losing his parents broke his heart,1,broken heart,sad,very sad,sad,sad,sad
55,With a heavy heart he left his hometown.,1,unwilling,sad,reluctant but forced,sad,sad,sad
56,"no matter what he tries, he still fails so he despairs",1,hopeless,sad,lose hope,sad,sad,sad
57,"Since his wife left him, he has lived alone.",1,alone,sad,living alone,sad,sad,sad
58,The shop went bankrupt because there were no customers.,1,out of business,sad,bankrupt,sad,sad,sad
59,His illness made him live reluctantly and die unwillingly.,1,"reluctant to live, unwilling to die",sad,suffer,sad,sad,sad
60,Their friendship broke down after an argument.,1,broken heart,sad,breakup,sad,sad,sad
61,He looked away when Budi asked for help,1,look away,angry,turn away and don't want to know,angry,angry,angry
62,"He is stubborn, has a heart of stone, and doesn't want to listen to advice.",1,stubborn; stone-hearted,angry,does not want to obey people's advice; heartless or heartless,angry,angry,angry
63,"After the meeting was over, he left.",1,lift your feet,neutral,go,neutral,neutral,neutral
64,"After the holiday, he felt his heart was in bloom.",1,heart full of flowers,happy,feeling of happiness,happy,happy,happy
65,"Hearing the taunts, he became furious.",1,furious,angry,very angry,angry,sad,angry
66,"he is thick-skinned, not ashamed even when humiliated",1,thick-skinned,angry,no shame,angry,angry,angry
67,His arrogant attitude makes his friends avoid him.,1,full of oneself,angry,proud,angry,angry,angry
68,He looks for face by pretending to help the boss.,1,making up,angry,seek attention and praise,angry,angry,angry
69,"After that problem, he washed his hands of it.",1,washing hands,neutral,don't want to get involved,neutral,neutral,neutral
70,"The official is crazy about respect, always wanting to be praised.",1,snobby,angry,happys to be overly respected,angry,angry,angry
71,He washed his hands of the project when it ran into problems.,1,hands-off,angry,shirk responsibility,angry,angry,neutral
72,They were caught flirting behind each other's backs,1,flirting,angry,together behind secretly,angry,angry,angry
73,He was accused of having an affair with another man's wife.,1,cheating,angry,having an affair,angry,angry,angry
74,"The employee receives a blind salary, his work is never clear",1,blind salary,angry,get results without clear work,angry,angry,angry
75,"He has a thick face, doesn't care what people say.",1,thick face,angry,no shame,angry,angry,angry
76,Last night he got a beautiful sleeping flower,1,sleeping flower,happy,sweet dreams,happy,happy,happy
77,He was sick of seeing his rival's success.,1,sore eyes,angry,jealous or unhappy,angry,angry,angry
78,He has thick ears so he doesn't listen to his parents' advice.,1,stubborn,angry,don't want to hear,angry,angry,angry
79,His high chair lifestyle makes other people uncomfortable.,1,chair height,angry,proud,angry,angry,angry
80,Both parties agreed to find a middle way,1,middle way,neutral,a fair and balanced solution,neutral,neutral,neutral
81,"He is just an accomplice of the boss, has no power.",1,accomplice,neutral,subordinate,neutral,neutral,neutral
82,"Since that incident, he has remained silent",1,silence of a thousand languages,neutral,not speaking,neutral,neutral,neutral
83,The government finally stepped in to deal with the flooding,1,to intervene,neutral,to intervene,neutral,neutral,neutral
84,He brought back souvenirs from his vacation.,1,souvenir,happy,bring souvenirs,happy,happy,happy
85,"His efforts failed, he returned home empty-handed.",1,empty handed,sad,got nothing,sad,sad,sad
86,"After being warned, he finally threw up his hands in resignation.",1,Raise your hands,sad,give up,sad,sad,sad
87,He received the good news with joy.,1,happy,happy,very happy,happy,happy,happy
88,"Hearing the news, his eyes widened.",1,wide-eyed,surprised,very surprised,surprised,surprised,surprised
89,"Hearing the announcement, he was shocked to death because his name was called as the winner.",1,shocked to death,surprised,very surprised,surprised,surprised,surprised
90,"When he saw the surprise gift, his eyes widened in disbelief.",1,wide-eyed,surprised,very surprised,surprised,surprised,surprised
91,He was so shocked that he almost fainted when he found out that the lottery ticket he bought had won.,1,almost fainted,surprised,extremely surprised,surprised,surprised,surprised
92,"Hearing the secret, his mouth was locked in a thousand words.",1,mouth locked,surprised,shocked speechless,surprised,surprised,surprised
93,"When the police knocked on the door in the middle of the night, his heart stopped.",1,heart palpitations,surprised,speechless in shock,surprised,surprised,surprised
94,"Seeing the accident, cold sweat poured down his face.",1,a cold sweat,surprised,shocked sweaty to scared,surprised,surprised,surprised
95,his hair stood on end when he heard a ghost's voice,1,hairs on end,surprised,shocked to the point of being scared and unable to move,surprised,surprised,surprised
96,"After a long wait, he finally got a windfall in the form of an inheritance from his uncle.",1,windfall,happy,unexpected profit,happy,happy,happy
97,"Hearing the news of his graduation, his heart was in bloom all day.",1,heart full of flowers,happy,feeling of happiness,happy,happy,happy
98,His achievements in international events have made his name famous in the eyes of the world.,1,her name is fragrant,happy,become famous,happy,happy,happy
99,"When he met his idol, he smiled broadly happy he had a windfall",1,windfall,happy,unexpected profit,happy,happy,happy
100,"As a manager, he is always the go-to person for questions because of his resourcefulness.",1,resourceful,trust,lots of ideas,trust,trust,trust
101,"With his experience, he is considered to have eaten a lot of salt in this field.",1,eat salt,trust,experienced,trust,trust,trust
102,"He is a person who sticks to his convictions, not easily shaken.",1,hold on tight,trust,loyal to principles,trust,trust,trust
103,"Even though he is still young, he has been trusted to lead big projects because he has blue blood in the company.",1,blue blood,trust,noble descent,trust,trust,trust
104,"Suddenly he saw a ghost in front of his eyes, immediately fell down because he was shocked to death.",1,shocked to death,surprised,very surprised,surprised,surprised,surprised
105,"Hearing the announcement that he was the chosen one, his mouth was locked in a thousand words.",1,mouth locked,surprised,shocked speechless,surprised,surprised,surprised
106,"When he found out the price of the car was sky high, his eyes widened in disbelief.",1,wide-eyed,surprised,very surprised,surprised,surprised,surprised
107,The arrival of the uninvited guest made the atmosphere awkward and everyone fell silent.,1,silence of a thousand languages,neutral,not speaking,neutral,neutral,neutral
108,"The grandfather was very humble, always giving candy to the children after school.",1,humble,happy,not arrogant or haughty,happy,happy,happy
109,"He was just a spectator, not interfering in the matter, aka washing his hands of it.",1,washing hands,neutral,don't want to get involved,neutral,neutral,neutral
110,"In the meeting, he was just a loyal listener, not speaking up.",1,speak up,neutral,speak,neutral,neutral,neutral
111,"Seeing a big snake in the bathroom, the hair on the back of his neck stood up.",1,standing bamboo neck,scared,goosebumps,scared,scared,scared
112,"Since the robbery, he has been feeling anxious and sits by the fire every night.",1,sitting on the fire,scared,anxious and worried,scared,scared,scared
113,"Hearing the sound of the stairs creaking, his heart was pounding happy it was going to come out.",1,heart palpitations,scared,shocked and scared,scared,scared,scared
114,"After losing his job, he felt happy his life was on the edge of a cliff.",1,tip of the horn,sad,in difficult circumstances,sad,sad,sad
115,The separation from his best friend broke his heart.,1,crushed,sad,very sad,sad,sad,sad
116,"He received the sad news with a sad heart, his tears could not be held back.",1,heartbroken,sad,very sad,sad,sad,sad
117,His arbitrary attitude made me furious,1,furious,angry,very angry,angry,angry,angry
118,"Don't try to argue with his orders, he will get angry.",1,get hot-blooded,angry,angry,angry,angry,angry
119,"Hearing the slander, he immediately became angry and wanted to argue",1,hot temper,angry,angry,angry,angry,angry
120,"He felt that he had been treated unfairly, so his heart boiled.",1,boiling heart,angry,very angry,angry,angry,angry
121,I smiled widely when my dream finally came true.,1,smile broadly,happy,smiling because of happiness,happy,happy,happy
122,My friend was elated after his project was a huge success.,1,to be proud of,happy,feel proud and happy,happy,happy,happy
123,Our team was overjoyed after receiving a special surprise.,1,overjoyed,happy,very happy,happy,happy,happy
124,They clapped as they celebrated their team's victory.,1,clap the hands,happy,show joy,happy,happy,trust
125,Her brother smiled broadly when he was accepted into his dream campus.,1,a wide smile,happy,smiling broadly with joy,happy,happy,happy
126,My sister felt happy after winning the competition.,1,smiling,happy,face beaming with joy,happy,happy,happy
127,The teacher was generous after receiving the award.,1,helpful,happy,happy to help,happy,happy,happy
128,He felt uplifted when he heard the good news.,1,rising star,happy,currently popular or famous,happy,happy,happy
129,We feel happy after getting a new job.,1,heart in bloom,happy,feeling very happy,happy,happy,happy
130,My friend was showered with praise after the graduation announcement.,1,harvest of praise,happy,received a lot of praise,happy,happy,happy
131,The student was overjoyed when his efforts paid off.,1,big heart,happy,feel proud and happy,happy,happy,happy
132,His family was flooded with good fortune when his birthday was celebrated with great fanfare.,1,flooded with good fortune,happy,get a lot of luck,happy,happy,happy
133,The child got a breath of fresh air when his dream came true.,1,fresh air,happy,got good news,happy,happy,happy
134,I was cheerful all day after achieving a proud achievement.,1,cheerful all day long,happy,happy all the time,happy,happy,happy
135,He jumped for joy after passing the exam with perfect marks.,1,jumping for joy,happy,very happy,happy,happy,happy
136,Our team was overjoyed when they received the surprise gift.,1,very happy,happy,very happy,happy,happy,happy
137,They felt happy when their name was called as the winner.,1,flowery,happy,feel very happy,happy,happy,happy
138,My friend felt joy after years of struggle.,1,joy,happy,deep happiness,happy,happy,happy
139,My friend is happy after completing a big task.,1,happy,happy,feel happy,happy,happy,happy
140,Her brother was beaming when he got a promotion.,1,radiant,happy,looks very happy,happy,happy,happy
141,My brother laughed out loud as he celebrated his team's victory.,1,laugh out loud,happy,laughing very happily,happy,happy,happy
142,His family was full of joy when he was accepted into his dream campus.,1,joy,happy,filled with happiness,happy,happy,happy
143,The teacher was relieved after winning the competition.,1,relieved,happy,accept it sincerely and happily,happy,happy,happy
144,The students were happy and joyful after receiving the award.,1,cheerful,happy,very cheerful and happy,happy,happy,happy
145,The child felt relieved when he heard the good news.,1,open heart,happy,feeling relieved and happy,happy,happy,happy
146,I feel incredibly happy after getting a new job.,1,incredibly happy,happy,very happy,happy,happy,happy
147,He was beyond happy after the graduation announcement.,1,immeasurably happy,happy,very happy,happy,happy,happy
148,Our faces brightened when his efforts paid off.,1,bright face,happy,looks happy,happy,happy,surprised
149,They smiled happily as their birthday was celebrated with great enthusiasm.,1,smiling,happy,smiling happily,happy,happy,happy
150,Our team felt happy they had won the lottery when their dreams came true.,1,win the lottery,happy,very lucky,happy,happy,happy
151,My friend fell into usury happy the moon after his project was a huge success.,1,the moon falls into usury,happy,get great luck,happy,happy,happy
152,Her brother was in awe after receiving a special surprise.,1,happy in the clouds,happy,very happy,happy,happy,happy
153,My brother felt happy he was flying in the clouds while celebrating his team's victory.,1,fly to the clouds,happy,very happy,happy,happy,happy
154,The teacher was happy when he was accepted into his dream campus.,1,happy heart,happy,happy,happy,happy,happy
155,The student was overjoyed after winning the competition.,1,happy heart,happy,very happy,happy,happy,happy
156,His family lived happily after receiving the award.,1,a happy life,happy,happy state,happy,happy,happy
157,The child was full of joy when he heard the good news.,1,full of joy,happy,very happy,happy,happy,happy
158,I'm full of enthusiasm after getting a new job.,1,burning passion,happy,vigorously,happy,happy,happy
159,He was at peace after the graduation announcement.,1,calm heart,happy,calm and happy,happy,happy,happy
160,We are full of hope when his efforts bear fruit.,1,full of hope,happy,optimistic,happy,happy,happy
161,They are happy when their birthday is celebrated with great enthusiasm.,1,happy heart,happy,happy,happy,happy,happy
162,Our team is happy when their dreams come true.,1,happy heart,happy,happy,happy,happy,happy
163,My friend was relieved after achieving a proud achievement.,1,relieved,happy,feeling of relief,happy,happy,happy
164,My sister was full of gratitude when her name was called as the winner.,1,gratitude,happy,happy,happy,happy,happy
165,It was happy his family had received a reward after years of struggle.,1,happy getting a gift,happy,very happy,happy,happy,happy
166,The teacher felt happy he had a windfall after completing a big assignment.,1,hit the jackpot,happy,get lucky,happy,happy,trust
167,The student was happy a daydream when he got a promotion.,1,daydream,happy,didn't expect happiness,happy,happy,happy
168,The boy was moved with joy as he celebrated his team's victory.,1,moved and happy,happy,happy and touched,happy,happy,happy
169,I was overjoyed when I was accepted into my dream campus.,1,have fun,happy,rejoice,happy,happy,happy
170,He was happy after winning the race.,1,happy,happy,happy,happy,trust,happy
171,"We, the children, were overjoyed after receiving the award.",1,baby,happy,Favourite Son,happy,happy,happy
172,They were overjoyed when they heard the good news.,1,happy and cheerful,happy,very happy,happy,happy,happy
173,Our team is happy after getting new jobs.,1,cheerful,happy,feeling of joy,happy,happy,happy
174,My friend was happy after the graduation announcement.,1,happy it,happy,happy,happy,trust,happy
175,My friend was satisfied when his efforts paid off.,1,satisfied,happy,feel satisfied and happy,happy,happy,happy
176,Her brother was relieved when his birthday was celebrated with great fanfare.,1,it feels relieved,happy,feel relieved,happy,happy,trust
177,My little brother felt relieved when his dream came true.,1,it feels relieved,happy,feel relieved,happy,happy,happy
178,His family smiled broadly after achieving this proud achievement.,1,big smile,happy,smiling happily,happy,happy,happy
179,The teacher blushed after passing the exam with perfect marks.,1,blush,happy,smiling because of happiness and embarrassment,happy,happy,happy
180,The student was amazed when he received the surprise gift.,1,gasp in amazement,happy,feel amazed,happy,happy,happy
181,The child cheered when his name was called as the winner.,1,cheers,happy,cheering,happy,happy,happy
182,I'm jumping up and down after years of struggling.,1,jumping around,happy,jumping for joy,happy,happy,happy
183,He was jumping up and down happily after completing a big task.,1,jumping up and down happily,happy,very happy,happy,happy,happy
184,We scream with joy when we get a promotion.,1,shouting with joy,happy,scream with joy,happy,happy,happy
185,They danced happily as they celebrated their team's victory.,1,dancing happily,happy,dancing for joy,happy,happy,happy
186,Our team cheered with joy when we were accepted into our dream campus.,1,cheering,happy,cheering for joy,happy,happy,happy
187,My friend clapped and cheered after winning the race.,1,applaud,happy,clapping and cheering,happy,happy,happy
188,My friend felt on cloud nine after receiving the award.,1,above the clouds,happy,very happy,happy,happy,happy
189,Her brother felt at the peak of happiness when he heard the good news.,1,the peak of happiness,happy,very happy,happy,happy,happy
190,My sister felt incredibly happy after getting a new job.,1,immeasurably happy,happy,very happy,happy,happy,happy
191,His family was delighted after the graduation announcement.,1,feel happy,happy,feel happy,happy,happy,happy
192,The teacher felt happy when his efforts paid off.,1,happy heart,happy,feel happy,happy,happy,happy
193,The student felt happy when his birthday was celebrated enthusiastically.,1,happy heart,happy,feel happy,happy,happy,happy
194,The child beamed with happiness when his dream came true.,1,radiant,happy,looks very happy,happy,happy,happy
195,I was overjoyed after achieving this proud achievement.,1,happy and cheerful,happy,very happy,happy,happy,happy
196,He was overjoyed after passing the exam with perfect marks.,1,merrymaking,happy,full of joy,happy,happy,happy
197,We are forever happy when we get a surprise gift.,1,happily ever after,happy,happy all the time,happy,happy,happy
198,They were forever happy when their name was called as the winner.,1,happy forever,happy,happy all the time,happy,trust,happy
199,Our team is happy forever after years of struggle.,1,happy forever,happy,constantly happy,happy,happy,happy
200,My friend felt satisfied after completing a big task.,1,feel satisfied,happy,feel satisfied and happy,happy,happy,happy
201,My friend felt relieved when he got a promotion.,1,feel relieved,happy,feel relieved and happy,happy,happy,happy
202,His brother was overjoyed as he celebrated his team's victory.,1,incomparable happiness,happy,ultimate happiness,happy,happy,happy
203,My sister was overjoyed when she was accepted into her dream campus.,1,incomparable joy,happy,ultimate pleasure,happy,happy,happy
204,His family was overjoyed after winning the competition.,1,incomparable joy,happy,ultimate joy,happy,happy,surprised
205,The teacher was overjoyed after receiving the award.,1,incomparable joy,happy,ultimate joy,happy,happy,happy
206,The student was overjoyed when he heard the good news.,1,incomparable joy,happy,ultimate happiness,happy,happy,happy
207,The child laughed happily after getting a new job.,1,laughing happily,happy,laughing because of happiness,happy,happy,happy
208,I smiled happily after the graduation announcement.,1,smiling happily,happy,smiling because of happiness,happy,happy,happy
209,He jumped for joy when his efforts paid off.,1,jumping for joy,happy,jumping for joy,happy,happy,happy
210,We jumped up and down happily as his birthday was celebrated with great fanfare.,1,jumping up and down happily,happy,jumping up and down because of joy,happy,happy,happy
211,They cheered happily when their dreams came true.,1,cheering happily,happy,cheering with joy,happy,happy,happy
212,Our team clapped happily after achieving a proud achievement.,1,clapping happily,happy,clapping hands for joy,happy,happy,happy
213,My friend danced happily after passing the exam with perfect marks.,1,dancing happily,happy,dancing for joy,happy,happy,happy
214,My friend was happy when he got a surprise gift.,1,happy heart,happy,feeling of joy,happy,happy,happy
215,Her brother was overjoyed when his name was called as the winner.,1,happy heart,happy,feeling of joy,happy,trust,happy
216,My little brother's heart is satisfied after years of struggle.,1,satisfied heart,happy,feeling of satisfaction,happy,happy,happy
217,His family's hearts were at peace after completing a big task.,1,calm heart,happy,feeling of calm,happy,happy,happy
218,The teacher felt comfortable when he got a promotion.,1,comfortable heart,happy,feeling of comfort,happy,happy,happy
219,The student generously shared his knowledge.,1,generous,happy,happys to give sincerely,happy,happy,happy
220,The child is light-hearted and helps his parents in the rice fields.,1,light bones,happy,work hard,happy,happy,trust
221,The leader is humble even though he is rich.,1,humble,happy,not arrogant,happy,happy,happy
222,The seller was too long-handed in taking other people's goods.,1,arm length,happy,happys to steal,happy,happy,happy
223,My little brother got big-headed after becoming the class champion.,1,big head,happy,proud,happy,happy,happy
224,He is stubborn and difficult to advise.,1,stubborn,happy,don't want to listen to advice,happy,happy,happy
225,My brother felt relieved after all the business was finished.,1,relieved heart,happy,feel relieved,happy,trust,happy
226,My feelings were sky high when I was accepted into my dream company.,1,sky high,happy,very happy,happy,happy,happy
227,His career is at the top of the mountain after a big promotion.,1,on the mountain top,happy,be in the best position,happy,happy,happy
228,His spirits were high after receiving praise.,1,flying high,happy,very excited,happy,happy,happy
229,Her heart fluttered when she heard the news of her graduation.,1,floating,happy,very happy,happy,happy,happy
230,His fortune was happy a handful of water after his pioneering business was successful.,1,a handful of water,happy,get lots of good fortune,happy,happy,happy
231,Finally he met his soul mate after being alone for so long.,1,meet your soulmate,happy,meet a life partner,happy,happy,surprised
232,The farmer got a windfall after the bumper harvest.,1,windfall,happy,make a big profit,happy,happy,happy
233,The investors made huge profits from the project.,1,big profits,happy,get abundant profits,happy,happy,happy
234,He was very lucky to survive the accident.,1,very lucky,happy,very lucky,happy,happy,happy
235,The president smiled broadly as he welcomed the state guest.,1,smile broadly,happy,smiling because of happiness,happy,happy,happy
236,My mentor was elated when his student won a gold medal.,1,to be proud of,happy,feel proud and happy,happy,happy,happy
237,The supporters were overjoyed after the national team won.,1,overjoyed,happy,very happy,happy,happy,happy
238,The audience applauded enthusiastically after the classical music performance.,1,clap the hands,happy,show joy,happy,happy,happy
239,Grandma smiled broadly when her first grandchild was born.,1,a wide smile,happy,smiling broadly with joy,happy,happy,happy
240,The coach felt happy after his team qualified for the final.,1,smiling,happy,face beaming with joy,happy,happy,happy
241,The police were quick to help residents in need.,1,helpful,happy,happy to help,happy,happy,trust
242,The designer rose to fame after his collections were praised by critics.,1,rising star,happy,currently popular or famous,happy,happy,happy
243,The volunteers were overjoyed to see the smiles of the children at the orphanage.,1,heart in bloom,happy,feeling very happy,happy,happy,happy
244,The young writer reaped praise after his book became a best seller.,1,harvest of praise,happy,received a lot of praise,happy,trust,happy
245,The village head is happy when his people live in harmony.,1,big heart,happy,feel proud and happy,happy,happy,happy
246,The mother was flooded with good fortune after her merchandise sold well.,1,flooded with good fortune,happy,get a lot of luck,happy,happy,trust
247,Young entrepreneurs get a breath of fresh air after successful investments.,1,fresh air,happy,got good news,happy,happy,happy
248,The family was cheerful all day long while celebrating Eid.,1,cheerful all day long,happy,happy all the time,happy,happy,happy
249,The athlete jumped for joy after breaking the world record.,1,jumping for joy,happy,very happy,happy,trust,happy
250,Workers are overjoyed when their salaries increase.,1,very happy,happy,very happy,happy,happy,happy
251,The newlyweds were in tears as they received congratulations.,1,flowery,happy,feel very happy,happy,happy,happy
252,The elderly are happy when their families visit them.,1,joy,happy,deep happiness,happy,happy,happy
253,People were happy after the electricity came back on.,1,happy,happy,feel happy,happy,happy,happy
254,The mother beamed when she saw her son graduate cum laude.,1,radiant,happy,looks very happy,happy,happy,happy
255,Children laughed heartily playing in the amusement park.,1,laugh out loud,happy,laughing very happily,happy,happy,happy
256,The Hajj pilgrims were full of joy when they arrived in the holy land.,1,joy,happy,filled with happiness,happy,happy,happy
257,The parents were open-minded in accepting their child's decision.,1,relieved,happy,accept it sincerely and happily,happy,happy,happy
258,The students were happy and excited when the school holidays arrived.,1,cheerful,happy,very cheerful and happy,happy,happy,happy
259,Refugees are open-hearted after receiving humanitarian aid.,1,open heart,happy,feeling relieved and happy,happy,happy,happy
260,The doctor was extremely happy because the operation was a success.,1,incredibly happy,happy,very happy,happy,happy,happy
261,The victim's family was overjoyed after being found safe.,1,immeasurably happy,happy,very happy,happy,surprised,happy
262,The farmers' faces brighten when the main harvest arrives.,1,bright face,happy,looks happy,happy,happy,happy
263,The couple smiled brightly on their wedding day.,1,smiling,happy,smiling happily,happy,happy,happy
264,The start up was happy hitting the lottery after a big acquisition.,1,win the lottery,happy,very lucky,happy,happy,happy
265,The poor farmer was happy the moon falling into usury after a bountiful harvest.,1,the moon falls into usury,happy,get great luck,happy,happy,happy
266,I felt happy I was in the clouds when I was accepted for an overseas scholarship.,1,happy in the clouds,happy,very happy,happy,happy,happy
267,His feelings flew to the clouds when his proposal was accepted.,1,fly to the clouds,happy,very happy,happy,happy,happy
268,Mother is happy to see her child growing up healthy.,1,happy heart,happy,happy,happy,happy,happy
269,The father was happy because his son graduated with perfect marks.,1,happy heart,happy,very happy,happy,happy,trust
270,The family lived happily in simplicity.,1,a happy life,happy,happy state,happy,happy,happy
271,The orphans were full of joy when they received aid.,1,full of joy,happy,very happy,happy,happy,happy
272,Volunteers are enthusiastic about helping disaster victims.,1,burning passion,happy,vigorously,happy,happy,happy
273,The farmer was calm even though his harvest was not very large.,1,calm heart,happy,calm and happy,happy,happy,happy
274,Young people are full of hope welcoming the new year.,1,full of hope,happy,optimistic,happy,happy,happy
275,The fans' hearts are happy when their idols perform.,1,happy heart,happy,happy,happy,happy,happy
276,Parents are happy to see their children succeed.,1,happy heart,happy,happy,happy,happy,happy
277,I felt relieved after all the problems were resolved.,1,relieved,happy,feeling of relief,happy,happy,happy
278,I express my gratitude for this gift.,1,gratitude,happy,happy,happy,happy,happy
279,His arrival was happy getting a gift on my birthday.,1,happy getting a gift,happy,very happy,happy,happy,happy
280,It's happy getting a windfall when you pass an exam.,1,hit the jackpot,happy,get lucky,happy,happy,happy
281,It felt happy a daydream when my name was announced.,1,daydream,happy,didn't expect happiness,happy,happy,happy
282,He was moved with happiness when his son hugged him tightly.,1,moved and happy,happy,happy and touched,happy,happy,happy
283,Children have fun playing in the city park.,1,have fun,happy,rejoice,happy,happy,happy
284,He was happy because all his plans went smoothly.,1,happy,happy,happy,happy,happy,happy
285,The youngest is the darling of our family.,1,baby,happy,Favourite Son,happy,happy,happy
286,They were happy to welcome the birth of their first grandchild.,1,happy and cheerful,happy,very happy,happy,happy,happy
287,Our team was delighted after the project was completed on time.,1,cheerful,happy,feeling of joy,happy,happy,happy
288,I was happy when all the guests came to my party.,1,happy it,happy,happy,happy,happy,happy
289,He was satisfied because his birthday was celebrated with great enthusiasm.,1,satisfied,happy,feel satisfied and happy,happy,happy,happy
290,Parents feel relieved when their children achieve success.,1,it feels relieved,happy,feel relieved,happy,happy,happy
291,I feel relieved with the results of today's team work.,1,it feels relieved,happy,feel relieved,happy,happy,happy
292,The child smiled broadly when he received the gift from his father.,1,big smile,happy,smiling happily,happy,happy,happy
293,The girl blushed when her beauty was praised.,1,blush,happy,smiling because of happiness and embarrassment,happy,happy,happy
294,Scientists are amazed at the latest discovery.,1,gasp in amazement,happy,feel amazed,happy,happy,happy
295,The crowd cheers when their favorite team scores a goal.,1,cheers,happy,cheering,happy,happy,happy
