id,kalimat,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
88,"Mendengar berita itu, matanya terbelalak.",1.0,mata terbelalak,terkejut,terkejut sekali,terkejut,terkejut,terkejut
89,"Mendengar pengumuman itu, dia terkejut setengah mati karena namanya disebut sebagai pemenang.",1.0,terkejut setengah mati,terkejut,sangat terkejut,terkejut,terkejut,terkejut
90,"Ketika melihat hadiah kejutan, matanya terbelalak tak percaya",1.0,mata terbelalak,terkejut,terkejut sekali,terkejut,terkejut,terkejut
91,"Saking terkejutnya, dia hampir pingsan saat tahu kalau lotre yang dibelinya menang.",1.0,hampir pingsan,terkejut,terkejut luar biasa,terkejut,terkejut,terkejut
92,"Mendengar rahasia itu, mulutnya terkunci seribu bahasa.",1.0,mulut terkunci,terkejut,kaget hingga tidak bisa berkata-kata,terkejut,terkejut,terkejut
93,"Saat polisi mengetuk pintu tengah malam, jantungnya copot",1.0,jantung copot,terkejut,terdiam karena kaget,terkejut,terkejut,terkejut
94,"Melihat kecelakaan itu, keringat dinginnya mengucur.",1.0,keringat dingin,terkejut,terkejut berkeringat hingga takut,terkejut,terkejut,terkejut
95,bulu nyawanya berdiri saat mendengar ada suara hantu,1.0,berdiri bulu nyawa,terkejut,terkejut hingga takut tidak bisa bergerak,terkejut,terkejut,terkejut
96,"Setelah lama menanti, akhirnya dia mendapatkan durian runtuh berupa warisan dari pamannya",1.0,durian runtuh,senang,keuntungan tak terduga,senang,senang,senang
97,"Mendengar kabar kelulusannya, hatinya berbunga-bunga sepanjang hari.",1.0,hati berbunga-bunga,senang,perasaan senang,senang,senang,senang
98,Prestasinya di ajang internasional membuat namanya harum di mata dunia,1.0,namanya harum,senang,menjadi terkenal baik,senang,senang,senang
99,"Ketika bertemu idolanya, ia tersenyum lebar bagai mendapat durian runtuh",1.0,durian runtuh,senang,keuntungan tak terduga,senang,senang,senang
100,"Sebagai manajer, ia selalu menjadi tempat bertanya karena panjang akal",1.0,panjang akal,percaya,banyak ide,percaya,percaya,percaya
101,"Dengan pengalamannya, ia dianggap sudah banyak makan garam dalam bidang ini.",1.0,makan garam,percaya,berpengalaman,percaya,percaya,percaya
102,"Ia adalah orang yang berpegang teguh pada pendiriannya, tidak mudah goyah.",1.0,pegang teguh,percaya,setia pada prinsip,percaya,percaya,percaya
103,"Meski masih muda, ia sudah dipercaya memimpin proyek besar karena berdarah biru dalam perusahaan.",1.0,darah biru,percaya,keturunan bangsawan,percaya,percaya,percaya
104,"Tiba-tiba ia melihat hantu di depan mata, langsung jatuh tersungkur karena kaget setengah mati.",1.0,kaget setengah mati,terkejut,sangat terkejut,terkejut,terkejut,terkejut
105,"Mendengar pengumuman bahwa dia yang terpilih, mulutnya terkunci seribu bahasa",1.0,mulut terkunci,terkejut,kaget hingga tidak bisa berkata-kata,terkejut,terkejut,terkejut
106,"Saat mengetahui harga mobil itu selangit, matanya terbelalak tak percaya",1.0,mata terbelalak,terkejut,terkejut sekali,terkejut,terkejut,terkejut
107,Kedatangan tamu tak diundang itu membuat suasana menjadi canggung dan semua terdiam seribu bahasa,1.0,diam seribu bahasa,netral,tidak berbicara,netral,netral,netral
108,"kakek itu sangat rendah hati, selalu memberikan permen ke anak-anak setelah sekolah",1.0,rendah hati,senang,tidak sombong atau tidak angkuh,senang,senang,senang
109,"Ia hanya sebagai penonton, tidak ikut campur dalam urusan itu, alias cuci tangan.",1.0,cuci tangan,netral,tidak mau terlibat,netral,netral,netral
110,"Dalam rapat, ia hanya menjadi pendengar setia, tidak angkat bicara",1.0,angkat bicara,netral,berbicara,netral,netral,netral
111,"Melihat ular besar di kamar mandi, bulu kuduknya berdiri semua.",1.0,berdiri buluh kuduk,takut,merinding ketakutan,takut,takut,takut
112,"Sejak perampokan itu, ia selalu merasa was-was dan duduk di atas api setiap malam.",1.0,duduk di atas api,takut,gelisah cemas,takut,takut,takut
113,"Mendengar suara anak tangga berderit, jantungnya berdebar-debar seperti mau copot",1.0,jantung copot,takut,terkejut dan takut,takut,takut,takut
114,"Setelah kehilangan pekerjaan, ia merasa hidupnya bagai di ujung tanduk",1.0,ujung tanduk,sedih,dalam keadaan sulit,sedih,sedih,sedih
115,Perpisahan dengan sahabatnya membuat hatinya remuk redam,1.0,remuk redam,sedih,sangat sedih,sedih,sedih,sedih
116,"Ia menerima kabar duka itu dengan hati pilu, air matanya tak terbendung",1.0,hati pilu,sedih,sedih sekali,sedih,sedih,sedih
117,Sikapnya yang seenaknya membuat saya naik pitam,1.0,naik pitam,marah,sangat marah,marah,marah,marah
118,"Jangan coba-coba membantah perintahnya, dia akan naik darah",1.0,naik darah,marah,marah,marah,marah,marah
119,"Mendengar fitnah itu, ia langsung panas hati dan ingin membantah",1.0,panas hati,marah,marah,marah,marah,marah
120,"Ia merasa diperlakukan tidak adil, sehingga hatinya mendidih.",1.0,hati mendidih,marah,marah sekali,marah,marah,marah
121,Aku tersenyum lebar ketika impianku akhirnya tercapai.,1.0,tersenyum lebar,senang,tersenyum karena bahagia,senang,senang,senang
122,Sahabatku berbesar hati setelah proyeknya sukses besar.,1.0,berbesar hati,senang,merasa bangga dan senang,senang,senang,senang
123,Tim kami girang bukan kepalang usai mendapat kejutan spesial.,1.0,girang bukan kepalang,senang,sangat gembira,senang,senang,senang
124,Mereka bertepuk tangan saat merayakan kemenangan timnya.,1.0,bertepuk tangan,senang,menunjukkan kegembiraan,senang,senang,percaya
125,Kakaknya senyum mengembang ketika diterima di kampus impian.,1.0,senyum mengembang,senang,tersenyum lebar karena senang,senang,senang,senang
126,Adikku merasa sumringah setelah memenangkan perlombaan itu.,1.0,sumringah,senang,wajah berseri-seri karena senang,senang,senang,senang
127,Guru itu ringan tangan usai menerima penghargaan tersebut.,1.0,ringan tangan,senang,suka membantu dengan senang hati,senang,senang,senang
128,Dia merasa naik daun ketika mendengar kabar baik tersebut.,1.0,naik daun,senang,sedang populer atau terkenal,senang,senang,senang
129,Kami merasa hati berbunga setelah mendapatkan pekerjaan baru.,1.0,hati berbunga,senang,perasaan sangat bahagia,senang,senang,senang
130,Temanku panen pujian setelah pengumuman kelulusan itu.,1.0,panen pujian,senang,mendapat banyak pujian,senang,senang,senang
131,Mahasiswa tersebut besar hati ketika usahanya membuahkan hasil.,1.0,besar hati,senang,merasa bangga dan bahagia,senang,senang,senang
132,Keluarganya kebanjiran rezeki saat ulang tahunnya dirayakan meriah.,1.0,kebanjiran rezeki,senang,mendapat banyak keberuntungan,senang,senang,senang
133,Anak itu mendapat angin segar ketika cita-citanya terwujud.,1.0,angin segar,senang,mendapat kabar baik,senang,senang,senang
134,Aku ceria sepanjang hari usai meraih prestasi membanggakan.,1.0,ceria sepanjang hari,senang,bahagia sepanjang waktu,senang,senang,senang
135,Ia melompat kegirangan setelah lulus ujian dengan nilai sempurna.,1.0,melompat kegirangan,senang,sangat senang,senang,senang,senang
136,Tim kami senang bukan main saat mendapat hadiah kejutan.,1.0,senang bukan main,senang,sangat bahagia,senang,senang,senang
137,Mereka merasa berbunga-bunga ketika namanya disebut sebagai pemenang.,1.0,berbunga-bunga,senang,merasa sangat bahagia,senang,senang,senang
138,Sahabatku merasa suka cita setelah bertahun-tahun berjuang.,1.0,suka cita,senang,kebahagiaan mendalam,senang,senang,senang
139,Temanku berbahagia usai menyelesaikan tugas besar.,1.0,berbahagia,senang,merasakan kebahagiaan,senang,senang,senang
140,Kakaknya berseri-seri ketika mendapatkan promosi jabatan.,1.0,berseri-seri,senang,tampak sangat bahagia,senang,senang,senang
141,Adikku tertawa lepas saat merayakan kemenangan timnya.,1.0,tertawa lepas,senang,tertawa dengan sangat bahagia,senang,senang,senang
142,Keluarganya penuh sukacita ketika diterima di kampus impian.,1.0,sukacita,senang,dipenuhi kebahagiaan,senang,senang,senang
143,Guru itu lapang dada setelah memenangkan perlombaan itu.,1.0,lapang dada,senang,menerima dengan ikhlas dan bahagia,senang,senang,senang
144,Mahasiswa tersebut riang gembira usai menerima penghargaan tersebut.,1.0,riang gembira,senang,sangat ceria dan bahagia,senang,senang,senang
145,Anak itu merasa hati lapang ketika mendengar kabar baik tersebut.,1.0,hati lapang,senang,perasaan lega dan bahagia,senang,senang,senang
146,Aku merasa bahagia luar biasa setelah mendapatkan pekerjaan baru.,1.0,bahagia luar biasa,senang,sangat bahagia,senang,senang,senang
147,Dia bahagia tak terkira setelah pengumuman kelulusan itu.,1.0,bahagia tak terkira,senang,sangat bahagia,senang,senang,senang
148,Kami wajah cerah ketika usahanya membuahkan hasil.,1.0,wajah cerah,senang,tampak bahagia,senang,senang,terkejut
149,Mereka senyum sumringah saat ulang tahunnya dirayakan meriah.,1.0,sumringah,senang,tersenyum bahagia,senang,senang,senang
150,Tim kami bagai mendapat lotre ketika cita-citanya terwujud.,1.0,mendapat lotre,senang,sangat beruntung,senang,senang,senang
151,Sahabatku bagai bulan jatuh ke riba setelah proyeknya sukses besar.,1.0,bulan jatuh ke riba,senang,mendapat keberuntungan besar,senang,senang,senang
152,Kakaknya bagai di awan usai mendapat kejutan spesial.,1.0,bagai di awan,senang,sangat bahagia,senang,senang,senang
153,Adikku merasa terbang ke awan saat merayakan kemenangan timnya.,1.0,terbang ke awan,senang,sangat bahagia,senang,senang,senang
154,Guru itu gembira hati ketika diterima di kampus impian.,1.0,gembira hati,senang,senang,senang,senang,senang
155,Mahasiswa tersebut girang hati setelah memenangkan perlombaan itu.,1.0,girang hati,senang,sangat senang,senang,senang,senang
156,Keluarganya hidup bahagia usai menerima penghargaan tersebut.,1.0,hidup bahagia,senang,keadaan bahagia,senang,senang,senang
157,Anak itu penuh kegembiraan ketika mendengar kabar baik tersebut.,1.0,penuh kegembiraan,senang,sangat bahagia,senang,senang,senang
158,Aku semangat membara setelah mendapatkan pekerjaan baru.,1.0,semangat membara,senang,penuh semangat,senang,senang,senang
159,Dia tenang hati setelah pengumuman kelulusan itu.,1.0,tenang hati,senang,tenang dan bahagia,senang,senang,senang
160,Kami penuh harapan ketika usahanya membuahkan hasil.,1.0,penuh harapan,senang,optimis,senang,senang,senang
161,Mereka hati riang saat ulang tahunnya dirayakan meriah.,1.0,hati riang,senang,bahagia,senang,senang,senang
162,Tim kami hati senang ketika cita-citanya terwujud.,1.0,hati senang,senang,bahagia,senang,senang,senang
163,Sahabatku lega hati usai meraih prestasi membanggakan.,1.0,lega hati,senang,perasaan lega,senang,senang,senang
164,Adikku penuh rasa syukur ketika namanya disebut sebagai pemenang.,1.0,rasa syukur,senang,bahagia,senang,senang,senang
165,Keluarganya seperti mendapat hadiah setelah bertahun-tahun berjuang.,1.0,seperti mendapat hadiah,senang,sangat senang,senang,senang,senang
166,Guru itu bagai mendapat durian runtuh usai menyelesaikan tugas besar.,1.0,mendapat durian runtuh,senang,mendapat keberuntungan,senang,senang,percaya
167,Mahasiswa tersebut bagai mimpi di siang hari ketika mendapatkan promosi jabatan.,1.0,mimpi di siang hari,senang,tidak menyangka kebahagiaan,senang,senang,senang
168,Anak itu terharu bahagia saat merayakan kemenangan timnya.,1.0,terharu bahagia,senang,bahagia dan terharu,senang,senang,senang
169,Aku bersuka ria ketika diterima di kampus impian.,1.0,bersuka ria,senang,bergembira,senang,senang,senang
170,Dia senang hati setelah memenangkan perlombaan itu.,1.0,senang hati,senang,bahagia,senang,percaya,senang
171,Kami buah hati usai menerima penghargaan tersebut.,1.0,buah hati,senang,anak kesayangan,senang,senang,senang
172,Mereka gembira ria ketika mendengar kabar baik tersebut.,1.0,gembira ria,senang,sangat gembira,senang,senang,senang
173,Tim kami riang hati setelah mendapatkan pekerjaan baru.,1.0,riang hati,senang,perasaan gembira,senang,senang,senang
174,Sahabatku suka hati setelah pengumuman kelulusan itu.,1.0,suka hati,senang,senang,senang,percaya,senang
175,Temanku puas hati ketika usahanya membuahkan hasil.,1.0,puas hati,senang,merasa puas dan bahagia,senang,senang,senang
176,Kakaknya lega rasanya saat ulang tahunnya dirayakan meriah.,1.0,lega rasanya,senang,merasa lega,senang,senang,percaya
177,Adikku plong rasanya ketika cita-citanya terwujud.,1.0,plong rasanya,senang,merasa lega,senang,senang,senang
178,Keluarganya senyum lebar usai meraih prestasi membanggakan.,1.0,senyum lebar,senang,tersenyum bahagia,senang,senang,senang
179,Guru itu tersipu malu setelah lulus ujian dengan nilai sempurna.,1.0,tersipu malu,senang,tersenyum karena senang dan malu,senang,senang,senang
180,Mahasiswa tersebut berdecak kagum saat mendapat hadiah kejutan.,1.0,berdecak kagum,senang,merasa kagum,senang,senang,senang
181,Anak itu bersorak sorai ketika namanya disebut sebagai pemenang.,1.0,bersorak sorai,senang,bersorak gembira,senang,senang,senang
182,Aku berjingkrak-jingkrak setelah bertahun-tahun berjuang.,1.0,berjingkrak-jingkrak,senang,melompat kegirangan,senang,senang,senang
183,Dia melompat-lompat gembira usai menyelesaikan tugas besar.,1.0,melompat-lompat gembira,senang,sangat senang,senang,senang,senang
184,Kami berteriak kegirangan ketika mendapatkan promosi jabatan.,1.0,berteriak kegirangan,senang,berteriak karena senang,senang,senang,senang
185,Mereka menari-nari bahagia saat merayakan kemenangan timnya.,1.0,menari-nari bahagia,senang,menari karena bahagia,senang,senang,senang
186,Tim kami bersorak gembira ketika diterima di kampus impian.,1.0,bersorak gembira,senang,bersorak karena gembira,senang,senang,senang
187,Sahabatku bertepuk sorak setelah memenangkan perlombaan itu.,1.0,bertepuk sorak,senang,bertepuk tangan sambil bersorak,senang,senang,senang
188,Temanku merasa di atas awan usai menerima penghargaan tersebut.,1.0,di atas awan,senang,sangat bahagia,senang,senang,senang
189,Kakaknya merasa di puncak kebahagiaan ketika mendengar kabar baik tersebut.,1.0,puncak kebahagiaan,senang,sangat bahagia,senang,senang,senang
190,Adikku merasa tak terkira bahagianya setelah mendapatkan pekerjaan baru.,1.0,tak terkira bahagianya,senang,sangat bahagia,senang,senang,senang
191,Keluarganya merasa senang hati setelah pengumuman kelulusan itu.,1.0,merasa senang hati,senang,merasa bahagia,senang,senang,senang
192,Guru itu merasa bahagia hati ketika usahanya membuahkan hasil.,1.0,bahagia hati,senang,merasa bahagia,senang,senang,senang
193,Mahasiswa tersebut merasa gembira hati saat ulang tahunnya dirayakan meriah.,1.0,gembira hati,senang,merasa gembira,senang,senang,senang
194,Anak itu berseri-seri bahagia ketika cita-citanya terwujud.,1.0,berseri-seri,senang,tampak sangat bahagia,senang,senang,senang
195,Aku girang ria usai meraih prestasi membanggakan.,1.0,girang ria,senang,sangat gembira,senang,senang,senang
196,Dia suka ria setelah lulus ujian dengan nilai sempurna.,1.0,suka ria,senang,penuh kegembiraan,senang,senang,senang
197,Kami bahagia selamanya saat mendapat hadiah kejutan.,1.0,bahagia selamanya,senang,bahagia sepanjang masa,senang,senang,senang
198,Mereka senang selamanya ketika namanya disebut sebagai pemenang.,1.0,senang selamanya,senang,senang terus-menerus,senang,percaya,senang
199,Tim kami gembira selamanya setelah bertahun-tahun berjuang.,1.0,gembira selamanya,senang,gembira terus-menerus,senang,senang,senang
200,Sahabatku merasa puas hati usai menyelesaikan tugas besar.,1.0,merasa puas hati,senang,merasa puas dan bahagia,senang,senang,senang
201,Temanku merasa lega hati ketika mendapatkan promosi jabatan.,1.0,merasa lega hati,senang,merasa lega dan bahagia,senang,senang,senang
202,Kakaknya bahagia tiada tara saat merayakan kemenangan timnya.,1.0,bahagia tiada tara,senang,kebahagiaan tertinggi,senang,senang,senang
203,Adikku senang tiada tara ketika diterima di kampus impian.,1.0,senang tiada tara,senang,kesenangan tertinggi,senang,senang,senang
204,Keluarganya gembira tiada tara setelah memenangkan perlombaan itu.,1.0,gembira tiada tara,senang,kegembiraan tertinggi,senang,senang,terkejut
205,Guru itu girang tiada tara usai menerima penghargaan tersebut.,1.0,girang tiada tara,senang,kegirangan tertinggi,senang,senang,senang
206,Mahasiswa tersebut suka cita tiada tara ketika mendengar kabar baik tersebut.,1.0,suka cita tiada tara,senang,kebahagiaan tertinggi,senang,senang,senang
207,Anak itu tertawa bahagia setelah mendapatkan pekerjaan baru.,1.0,tertawa bahagia,senang,tertawa karena bahagia,senang,senang,senang
208,Aku tersenyum bahagia setelah pengumuman kelulusan itu.,1.0,tersenyum bahagia,senang,tersenyum karena bahagia,senang,senang,senang
209,Dia melompat senang ketika usahanya membuahkan hasil.,1.0,melompat senang,senang,melompat karena senang,senang,senang,senang
210,Kami berjingkrak senang saat ulang tahunnya dirayakan meriah.,1.0,berjingkrak senang,senang,melompat kecil karena senang,senang,senang,senang
211,Mereka bersorak senang ketika cita-citanya terwujud.,1.0,bersorak senang,senang,bersorak karena senang,senang,senang,senang
212,Tim kami bertepuk senang usai meraih prestasi membanggakan.,1.0,bertepuk senang,senang,bertepuk tangan karena senang,senang,senang,senang
213,Sahabatku menari senang setelah lulus ujian dengan nilai sempurna.,1.0,menari senang,senang,menari karena senang,senang,senang,senang
214,Temanku hati gembira saat mendapat hadiah kejutan.,1.0,hati gembira,senang,perasaan gembira,senang,senang,senang
215,Kakaknya hati girang ketika namanya disebut sebagai pemenang.,1.0,hati girang,senang,perasaan girang,senang,percaya,senang
216,Adikku hati puas setelah bertahun-tahun berjuang.,1.0,hati puas,senang,perasaan puas,senang,senang,senang
217,Keluarganya hati tenang usai menyelesaikan tugas besar.,1.0,hati tenang,senang,perasaan tenang,senang,senang,senang
218,Guru itu hati nyaman ketika mendapatkan promosi jabatan.,1.0,hati nyaman,senang,perasaan nyaman,senang,senang,senang
